Yorgos Lanthimos,2015,The Lobster,US,Good,,,
류승완,2015,베테랑 (Veteran),Korea,Masterpiece,,,
오승욱,2015,무뢰한,Korea,Good,,,
장건재,2015,한여름의 판타지아,Korea,Good,,,
장재현,2015,검은 사제들,Korea,Good,,,
최동훈,2015,암살,Korea,Good,,청룡영화제 최우수 작품상,
홍상수,2015,"지금은맞고그때는틀리다 (Right Now, Wrong Then)",Korea,Special,,,
Abhishek Varman,2014,2 States,India,Good,,,
Alejandro González Iñárritu,2014,Birdman,US,Good,,Oscar Best Picture,
Ava DuVernay,2014,Selma,US,Good,,,
Bennett Miller,2014,Foxcatcher,US,Good,,,
Christian Petzold,2014,Phoenix,Germany,Special,,,
Christopher Nolan,2014,Interstellar,US,Special,,,
Damien Chazelle,2014,Whiplash,US,Good,,,
Darren Aronofsky,2014,Noah,US,Good,,,
David Fincher,2014,Gone Girl (나를 찾아줘),US,Good,,,
Eric Lartigau,2014,La Famille Bélier (미라클 벨리에),France,Good,,,
Imtiaz Ali,2014,Highway,India,Good,,,
James Marsh,2014,The Theory of Everything,US,Good,,,
"Jean-Pierre Dardenne, Luc Dardenne",2014,Two Days One Night,Belgium,Good,,,
Joshua Oppenheimer,2014,The Look of Silence,US,Good,,,
Morten Tyldum,2014,The Imitation Game,US,Good,,,
Richard Linklater,2014,Boyhood,US,Good,,,
Wes Anderson,2014,Grand Budapest Hotel,US,Good,,,
Woody Allen,2014,Magic in the moonlight,US,Good,,,
김한민,2014,명량,Korea,Good,,,
양우석,2014,변호인,Korea,Good,,청룡영화제 최우수 작품상,
임권택,2014,화장,Korea,Good,,,
Abdellatif Kechiche,2013,Blue Is the Warmest Color,France,Masterpiece,Cannes Palme d'Or,,"Adele, love."
Alfonso Cuarón,2013,Gravity,US,Masterpiece,,,
Asghar Farhadi,2013,The Past,France,Good,,,
Eugenio Derbez,2013,"Instructions Not Included (사랑해, 매기)",Spain,Good,,,
Hirokazu Koreeda,2013,"Like Father, Like Son (그렇게 아버지가 된다)",Japan,Good,,,
James Gray,2013,The Immigrant,US,Good,,,
"Joel Coen, Ethan Coen",2013,Inside Llewyn Davis,US,Good,,,
John Carney,2013,Begin again,US,Good,,,
Martin Scorsese,2013,The Wolf of Wall Street,US,Good,,,
Morgan Neville,2013,20 Feet from Stardom,US,Good,,,
Paolo Sorrentino,2013,The Great Beauty,Italia,Good,,Oscar Best International Film,
Pawel Pawlikowski,2013,Ida,Poland,Masterpiece,,Oscar Best International Film,One answer to why someone should become a nun.
Richard Curtis,2013,About Time,UK,Special,,,
Spike Jonze,2013,Her,US,Good,,,
Steve McQueen,2013,12 Years A Slave,US,Good,,Oscar Best Picture,
Uberto Pasolini,2013,Still Life,UK,Good,,,
Wong Kar-wai,2013,The Grandmaster (일대종사),Hong Kong,Good,,Hong Kong Film Awards,
Woody Allen,2013,Blue Jasmine,US,Good,,,
박찬욱,2013,Stoker,US,Good,,,
봉준호,2013,설국열차,Korea,Good,,,
한재림,2013,관상,Korea,Good,,,
홍상수,2013,우리 선희,Korea,Good,,,
Alain Resnais,2012,You Ain't Seen Nothin' Yet,France,Good,,,
Ang Lee,2012,Life of Pi,Canada,Good,,,
Ben Affleck,2012,Argo,US,Good,,Oscar Best Picture,
Christopher Nolan,2012,The Dark Knight Rises,US,Good,,,
David O. Russell,2012,Silver Linings Playbook,US,Good,,,
Jacques Audiard,2012,Rust and Bone,France,Good,,,
Joshua Oppenheimer,2012,The Act Of Killing,US,Good,,,
Leos Carax,2012,Holy Motors,France,Good,,,
Mamoru Hosoda,2012,Wolf Children (늑대아이),Japan,Good,,,
Marc Webb,2012,The Amazing Spider-Man,US,Good,,,
Michael Haneke,2012,Amour,France,Good,Cannes Palme d'Or,Oscar Best International Film,
Noah Baumbach,2012,Frances Ha,US,Good,,,
